record_id,country_code,published_at,url,title,speaker,content_chars,score,score_reasoning,war_related,confidence,source_kind,language,model,response_id,scored_at,content_hash,is_legacy,pipeline_version
78075aafdc218026,CN,2010-01-05,,,Jiang Yu,10278,-2,在涉及伊朗核问题及美对台军售问题上，使用‘敦促’‘坚决反对’等措辞，且对象为大国（美国），负面情绪权重较高，整体判断为明显消极。,True,,legacy_cn_press_conference,en,legacy_import,,,2954b17ad63f00d45d434bbd06f230cb7bdfc795,True,
3341192bb6f8c2ce,CN,2010-01-07,,,Jiang Yu,5246,-2,明确反对美国对台军售，使用‘坚决反对’‘郑重交涉’等措辞，且涉及大国美国，负面权重更高，整体判断为明显消极。,True,,legacy_cn_press_conference,en,legacy_import,,,cbd68820020355379fe5a49d9bd0d007c7dd9581,True,
30308d9c208ae8b7,CN,2010-01-12,,,Jiang Yu,8860,-2,在涉及反导试验及美对台军售问题上，使用‘坚决反对’等否定词，且对象为大国，负面权重更高，整体判断为明显消极。,True,,legacy_cn_press_conference,en,legacy_import,,,5452e32b1bbcfdb36434699a8a64c3a41b2f0156,True,
91be8c24cb76c004,CN,2010-01-14,,,Jiang Yu,9846,0,无相关内容,False,,legacy_cn_press_conference,en,legacy_import,,,0c374f62d3cccc215fb41830654b62001f8c0128,True,
648f14d39d6cdd17,CN,2010-01-19,,,Ma Zhaoxu,15098,0,无相关内容,False,,legacy_cn_press_conference,en,legacy_import,,,7e35b40f644d78d5c4430657fd4b788b8e3134d3,True,
7a1eb50d5554d6fb,CN,2010-01-26,,,Ma Zhaoxu,10414,-2,针对美国对台军售，使用了‘坚决反对’‘严正交涉’等措辞，且对象为大国，负面权重更高，整体判断为明显消极。,True,,legacy_cn_press_conference,en,legacy_import,,,ecaedd8bc436e5f761ffed6ef7abd186adfd2a84,True,
5faf049726e60b14,CN,2010-01-28,,,Ma Zhaoxu,7589,2,涉及欧盟对华军售禁令问题，中国明确要求‘立即、无条件、彻底解除禁令’，措辞为‘坚决要求’，态度明显积极，且对象为大国，正面权重更高，整体判断为明显积极。,True,,legacy_cn_press_conference,en,legacy_import,,,bf86fe36634ebb553294d6784599c2040bd0c807,True,
9104b3eb9a8117fe,CN,2010-02-02,,,Ma Zhaoxu,9599,-3,多次使用‘坚决反对’‘强烈敦促’等措辞，明确反对美国对台军售并宣布制裁相关公司，涉及大国且军事议题权重较高，整体判断为极度消极。,True,,legacy_cn_press_conference,en,legacy_import,,,7d6d1b4af40882c82a8d7e6608f9382d1d6cb5f5,True,
7077ecfc65ba3d0d,CN,2010-02-04,,,Ma Zhaoxu,10149,-2,发言中提到美国对台军售问题，使用‘坚决反对’‘严重违反’等措辞，明确表达负面情绪，且涉及大国美国，因此加权后判断为明显消极。,True,,legacy_cn_press_conference,en,legacy_import,,,1c08979e79c63c8232f0ec161ba99903a1b5add4,True,
2b975b3e24eaec29,CN,2010-02-09,,,Ma Zhaoxu,12366,-1,对伊朗生产浓缩铀及美法加强对伊制裁的表态中使用‘敦促’‘希望’等措辞，态度略显消极；涉及大国美国与法国，权重更高，整体判断为略微消极。,True,,legacy_cn_press_conference,en,legacy_import,,,d90f7e131070ab4f9e97efcb000b38cb0d7c8a7b,True,
