record_id,country_code,published_at,url,title,speaker,content_chars,score,score_reasoning,war_related,confidence,source_kind,language,model,response_id,scored_at,content_hash,is_legacy,pipeline_version
fcff52d05a36066b,US,2010-01-01,https://2009-2017.state.gov/secretary/20092013clinton/rm/2010/01/134619.htm,Terrorist Attack in PakistanShare,,508,0,无相关内容,False,,legacy_us_spokesperson,en,legacy_import,,,2984b12c5b218229a6f8aa5298d7deaea2b8e4e1,True,
6b0f06801129026e,US,2010-01-04,https://2009-2017.state.gov/secretary/20092013clinton/rm/2010/01/134671.htm,Remarks With Qatar Prime Minister Sheikh Hamad Bin Jassim Bin Jabr Al-Thani After Their MeetingShare,,17902,-2,发言稿中提及也门的安全局势和反恐问题，使用‘threat to regional stability’‘combat terrorism’等措辞，语气明显消极；同时涉及伊朗核问题及制裁可能性，使用‘ruthless repression’‘condemn’等强烈负面词汇。这些内容集中在安全与军事领域，且涉及大国（伊朗），因此整体判断为明显消极。,True,,legacy_us_spokesperson,en,legacy_import,,,446f17eb3f2ff0f96ce9911243f6708a334cf70e,True,
1951ef7178a82170,US,2010-01-05,https://2009-2017.state.gov/r/pa/prs/ps/2010/01/134726.htm,The Passing of Ambassador Carlos RicoShare,,1157,0,无相关内容,False,,legacy_us_spokesperson,en,legacy_import,,,5f9dca118ac0d4534f80d02790db2bf31c24d0ee,True,
badc82910c2d872f,US,2010-01-05,https://2009-2017.state.gov/r/pa/prs/ps/2010/01/134723.htm,Secretary Clinton to Commemorate 15th Anniversary of International Conference on Population and DevelopmentShare,,1768,0,无相关内容,False,,legacy_us_spokesperson,en,legacy_import,,,764b014b5d669f460a4654a2d770563d652c5d74,True,
db3e81b5ec3b98d5,US,2010-01-05,https://2009-2017.state.gov/r/pa/prs/ps/2010/01/134721.htm,Public Meetings of the Shipping Coordinating CommitteeShare,,1460,0,无相关内容,False,,legacy_us_spokesperson,en,legacy_import,,,e76f50b56e851720d1993747c9232df371fd07d8,True,
e391b3d1bcd69e78,US,2010-01-05,https://2009-2017.state.gov/r/pa/prs/ps/2010/01/134724.htm,"Secretary Clinton to Deliver Remarks on ""Development in the 21st Century""Share",,1467,0,无相关内容,False,,legacy_us_spokesperson,en,legacy_import,,,918be0480e186f4a17307c875adfccea3bcbd007,True,
263f0e81bf7d2469,US,2010-01-06,https://2009-2017.state.gov/r/pa/prs/ps/2010/01/134732.htm,Secretary Clinton's Travel to the PacificShare,,1205,1,提及AUSMIN会议讨论全球和区域安全挑战，语气中性偏积极，涉及大国澳大利亚，略微积极。,True,,legacy_us_spokesperson,en,legacy_import,,,4a0050afa36cc8709e1dc1d5ae7ef63067c7271b,True,
66f8832b882db48a,US,2010-01-06,https://2009-2017.state.gov/secretary/20092013clinton/rm/2010/01/134838.htm,Remarks on Development in the 21st CenturyShare,,32766,0,无相关内容,False,,legacy_us_spokesperson,en,legacy_import,,,991e789f3df9d23f82c1a1abd2361d7c8c3bcf9e,True,
6b0e388e8cafa705,US,2010-01-06,https://2009-2017.state.gov/r/pa/prs/ps/2010/01/134787.htm,Background Briefing on Plans to Elevate and Strengthen Development as One of the Three Pillars of the Nation's Foreign PolicyShare,,6768,0,无相关内容,False,,legacy_us_spokesperson,en,legacy_import,,,e13cabf233107efb6f0bb8809394a221ddc76bce,True,
797d015e0d85b1e0,US,2010-01-06,https://2009-2017.state.gov/r/pa/prs/ps/2010/01/134781.htm,On-the-Record Briefing Previewing Secretary Clinton's Speech on Development Via TeleconferenceShare,,11224,0,无相关内容,False,,legacy_us_spokesperson,en,legacy_import,,,c7b9e4607aedcebd1cbf880c72af343e35d4b397,True,
a012422d16ef52fa,US,2010-01-06,https://2009-2017.state.gov/secretary/20092013clinton/rm/2010/01/134840.htm,Ulster Defense Association Weapons DecommissioningShare,,774,2,使用了‘welcome’和‘positive step’等措辞，明确对解除武装表示欢迎，并赞扬相关工作，语气明显积极。,True,,legacy_us_spokesperson,en,legacy_import,,,f601be37c1f5be0d46ba91acfaa1809b2c6f0c65,True,
1659dee6e12bf082,US,2010-01-07,https://2009-2017.state.gov/secretary/20092013clinton/rm/2010/01/134877.htm,"Remarks at Swearing-In Ceremony of Dr. Rajiv Shah, Administrator of U.S. Agency for International DevelopmentShare",,6788,0,无相关内容,False,,legacy_us_spokesperson,en,legacy_import,,,a8e8a4e0f021bc7a95c5e233ad5c5bdfbf3b4c2a,True,
